agency_cd,site_no,datetime,293221_00060_00003,293221_00060_00003_cd
USGS,1589000,1/1/2015,157,A
USGS,1589000,1/2/2015,156,A
USGS,1589000,1/3/2015,155,A
USGS,1589000,1/4/2015,430,A
USGS,1589000,1/5/2015,396,A
USGS,1589000,1/6/2015,298,A
USGS,1589000,1/7/2015,261,A
USGS,1589000,1/8/2015,208,A:e
USGS,1589000,1/9/2015,170,A:e
USGS,1589000,1/10/2015,143,A:e
USGS,1589000,1/11/2015,132,A
USGS,1589000,1/12/2015,182,A
USGS,1589000,1/13/2015,310,A:e
USGS,1589000,1/14/2015,201,A:e
USGS,1589000,1/15/2015,166,A:e
USGS,1589000,1/16/2015,154,A
USGS,1589000,1/17/2015,138,A
USGS,1589000,1/18/2015,122,A
USGS,1589000,1/19/2015,120,A
USGS,1589000,1/20/2015,115,A
USGS,1589000,1/21/2015,110,A
USGS,1589000,1/22/2015,112,A
USGS,1589000,1/23/2015,115,A
USGS,1589000,1/24/2015,549,A
USGS,1589000,1/25/2015,439,A
USGS,1589000,1/26/2015,340,A
USGS,1589000,1/27/2015,309,A
USGS,1589000,1/28/2015,243,A
USGS,1589000,1/29/2015,186,A
USGS,1589000,1/30/2015,197,A
USGS,1589000,1/31/2015,168,A
USGS,1589000,2/1/2015,135,A:e
USGS,1589000,2/2/2015,227,A
USGS,1589000,2/3/2015,225,A
USGS,1589000,2/4/2015,172,A
USGS,1589000,2/5/2015,187,A
USGS,1589000,2/6/2015,131,A
USGS,1589000,2/7/2015,129,A:e
USGS,1589000,2/8/2015,122,A
USGS,1589000,2/9/2015,121,A
USGS,1589000,2/10/2015,134,A
USGS,1589000,2/11/2015,130,A
USGS,1589000,2/12/2015,121,A
USGS,1589000,2/13/2015,125,A
USGS,1589000,2/14/2015,102,A
USGS,1589000,2/15/2015,106,A:e
USGS,1589000,2/16/2015,108,A:e
USGS,1589000,2/17/2015,110,A:e
USGS,1589000,2/18/2015,111,A:e
USGS,1589000,2/19/2015,106,A:e
USGS,1589000,2/20/2015,99.8,A:e
USGS,1589000,2/21/2015,95.3,A:e
USGS,1589000,2/22/2015,165,A
USGS,1589000,2/23/2015,190,A
USGS,1589000,2/24/2015,125,A
USGS,1589000,2/25/2015,115,A
USGS,1589000,2/26/2015,111,A
USGS,1589000,2/27/2015,107,A
USGS,1589000,2/28/2015,105,A
USGS,1589000,3/1/2015,110,A
USGS,1589000,3/2/2015,155,A
USGS,1589000,3/3/2015,157,A
USGS,1589000,3/4/2015,172,A
USGS,1589000,3/5/2015,1330,A:e
USGS,1589000,3/6/2015,739,A:e
USGS,1589000,3/7/2015,354,A:e
USGS,1589000,3/8/2015,350,A
